ID,Post,Label
1,Sarah Silverman: Killing Jesus,Mixture
2,Can a Cattle Vaccine Be Used To Fight COVID-19?,FALSE
3,"At 191 Years Old, Mama Esifiho May be Oldest Woman Alive",Mixture
4,Customer Reports Finding Rat Head in Popeyes Chicken,Mixture
5,New York Police Officer Caught on Camera Raping Girl?,Mixture
6,Teenage Arizona Couple Moves Out of Chicago After Just One Day Because of Assault?,Mixture
7,Can a Negative COVID Test Result 'Clear' People for Holiday Gatherings?,Mixture
8,Did the CDC Allege Anyone Entering a Hospital is ID'ed as a COVID-19 Case?,Mixture
9,Amish Dobergoat Fighting Ring Busted!,FALSE
10,Diabetes Vaccine Announced?,FALSE
11,S.C. High School Bans American Flag from Football Games,Mixture
12,Authorities Authorize the Public to Legally Shoot and Kill Suspicious Clowns,FALSE
13,Are Non-Respirator Masks Ineffective at Protecting Against COVID-19?,FALSE
14,Did Betsy DeVos Say Schools Can’t Plan for a COVID-19 Outbreak That 'Hasn’t Happened Yet'?,Mixture
15,Are These Vegan Foods Left Unsold During the COVID-19 Pandemic?,FALSE
16,WikiLeaks Confirms Hillary Clinton Sold Weapons to ISIS?,Mixture
17,Do Muscular Cows Demonstrate Genetic Engineering Potential?,Mixture
18,U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?,FALSE
19,Is This 'Shaun of the Dead' Meme Mocking Real Ohio Protesters?,TRUE
20,Will Ticketmaster Require Event Attendees To Provide Proof of Negative COVID-19 Test?,Mixture
21,#SaveTwitter? Social Media Network Not Shutting Down in 2017,FALSE
22,"No, This Is Not a Phone Number for Tracking Your Coronavirus Stimulus Payments",FALSE
23,Betty White Death Hoax,FALSE
24,Deceased FBI Agent Found at Trump Tower with Silenced Pistol,FALSE
25,Malawian Minister Sent Pornographic Video to BeyoncÃ©?,Mixture
26,Is This McDonald's COVID-19 Sign Real?,TRUE
27,Obama Signs Executive Order Allowing Military to Fight US Citizens,FALSE
28,Did a Phone Service Outage Enable COVID-19 Tracking Apps To Be Placed in Phones?,Mixture
29,Did Chelsea Clinton Say That Marijuana Is Killing People?,Mixture
30,Did Biden Say 120 Million People Had Died from COVID-19?,Mixture
31,Is This a Real Message Displayed at a COVID-19 Anti-Lockdown Protest?,TRUE
32,Monica Lewinsky Says She Is Voting for Hillary Clinton,FALSE
33,Did the 1981 'Farmer's Almanac' Predict COVID-19?,FALSE
34,Does the Satanic Temple Want to Establish After School Satan Clubs?,Mixture
35,Fowl Play,FALSE
36,Is it Impossible to Cancel Recurring Donations to the Trump Campaign?,Mixture
37,Did Trump Criticize Biden for Saying He'll 'Listen to the Scientists'?,TRUE
38,Is This a Text from an NHS Worker?,FALSE
39,"Is Moderna Tied to Fauci, Gates, Soros, and Epstein?",FALSE
40,Obama Cuts Military Pay 3rd Year in a Row?,Mixture
41,Obama and Clinton Have Iranian Advisers?,FALSE
42,Is the COVID-19 Vaccine Vape Cartridge Real?,FALSE
43,Does 'Quarantine' Originate from the Word 'Forty' (Days) in Italian?,TRUE
44,Did Biden Violate His Own Mask Mandate?,FALSE
45,Mylan CEO Donated Money to the Clinton Foundation?,Mixture
46,Is This a Live Panda Flown from China to U.S. in Business Class?,FALSE
47,Did Gavin Newsom Dine in Napa with Lobbyists During COVID?,TRUE
48,Were Florida Labs Busted for Not Reporting Negative COVID-19 Results?,Mixture
49,Were COVID-19 Detention Camps Proposed in New York Legislation?,Mixture
50,Did McDonald's Announce 'Huge Changes' to Their Restaurants Due to COVID?,FALSE
51,Michelle Obama Copied Her 2008 DNC Speech from Saul Alinsky,Mixture
52,Suppressed North Dakota Pipeline Protest Photo,FALSE
53,Will Eating Charred Oranges Restore Sense of Smell After COVID-19?,Mixture
54,Suicide Bomber Explodes After Falling Off Skateboard,FALSE
55,Is 'Center for Global Human Population Reduction' Inscribed on a Gates Foundation Building?,FALSE
56,Are These Calif.'s Mandatory Rules for Christmas/Thanksgiving Gatherings?,FALSE
57,"Will Alaska Pay You $2,000 Not to Leave the State?",Mixture
58,California Government Pays for Criminals to Take Vacations?,Mixture
59,Kristian Saucier vs. Hillary Clinton,Mixture
60,Are Thieves Handing Out Masks With Chemicals That Make You Pass Out?,FALSE
61,Did BBB Warn Against Sharing High School Senior Photos?,TRUE
62,Fake CNN Report: COVID Vaccine Recipients Become Cannibals,FALSE
63,Pokemon Go Uploads Your Data to Google Maps,FALSE
64,Did Trump Blame Obama for 'Bad' COVID-19 Tests?,TRUE
65,Man Dressed as Clown Shot; Condition Critical,FALSE
66,"Did the Bureau of Land Management Vote to Slaughter 44,000 Wild Horses?",Mixture
67,Did Trump Ban All Travel From China at the Start of the Pandemic?,Mixture
68,Did an Infectious Disease Specialist Write 'I Am Not Scared of COVID-19'?,TRUE
69,Does an 1866 Court Case Bar States from Enforcing Social-Distancing Regulations?,FALSE
70,Was a Snake Dropped on a Family Barbecue By a Hawk?,FALSE
71,New Federal Gun Law Prevents Open Carry in All 50 States,FALSE
72,Did Putin's Daughter Die After Taking COVID-19 Vaccine?,FALSE
73,Did Costco Post This Sarcastic Reply to a Customer on Facebook?,FALSE
74,Does China Have a 'New' Outbreak of Hantavirus?,Mixture
75,"Pope Francis Shocks World, Endorses Donald Trump for President",FALSE
76,Sheep Walking Through Gate,FALSE
77,Did Anthony Fauci Say People No Longer Need to Wear Masks?,Mixture
78,Einstein Bicycles as A-Bomb Explodes,FALSE
79,Pat Robertson Says Husbands Must Boycott Sex with Wives Voting Hillary,FALSE
80,40 Million Russians in Drills for Possible Nuclear Strike,Mixture
81,Is Starbucks Offering $100 Coupons During the COVID-19 Pandemic?,FALSE
82,Have Plagues Repeated Exactly Every 100 Years?,Mixture
83,"Jesus Is Not Coming Back, Vatican Says",FALSE
84,Did the US Surgeon General Recommend the Public Not Wear Masks?,Mixture
85,For All Jews Voting for Hillary,TRUE
86,Daily Debunker: Some Good News about the COVID-19 Outbreak,Mixture
87,Does This Photograph Show Women Wearing 'Flu Masks'?,FALSE
88,Did Doctors Recommend Genital COVID-19 Vaccination Injections for Men?,FALSE
89,Did a Couple Wear Swastika Masks to Walmart?,TRUE
90,Are CDC Guidelines for Reporting COVID-19 Deaths Artificially Inflating Numbers?,FALSE
91,Trump Family Photograph,TRUE
92,NASA Admits It Is in Contact with Alien Species and Just Forgot to Mention It,FALSE
93,ATF Reclassifies Wetted Nitrocellulose as High Explosive,Mixture
94,Cell Phone Use at Night Causes Eye Cancer,FALSE
95,Pride Parade Fire Hydrant Mishap,FALSE
96,Melania Trump Copied Statement from Hillary Clinton,FALSE
97,Do 52 Thoroughbred Horses Need New Homes Due to COVID-19?,FALSE
98,Free Krispy Kreme Doughnuts for Pirates on September 19,TRUE
99,"Did Police Shoot a White Coal Miner, Thinking He Was Black?",FALSE
100,Brock Turner Beaten with Sex Toys by Flash Mob,FALSE
101,Did an Ohio Man Die of COVID-19 After Vowing Not To Wear a Face Mask?,TRUE
102,Tim Kaine Made DNC Vice Presidential Deal with Hillary Clinton in 2011,Mixture
103,"No, Gov. DeSantis Didn't Tell Biden 'Go F--- Yourself'",FALSE
104,Did Johns Hopkins Student Newspaper Retract Article Claiming COVID-19 Deaths 'Not Above Normal'?,Mixture
105,Three Countries Issue Travel Warnings About the United States,Mixture
106,Is Kroger Requiring Employees to Repay Coronavirus Emergency Pay?,Mixture
107,Did Nancy Pelosi Visit Wuhan in November 2019?,FALSE
108,U.S. Army Memo Announces Preparations for Martial Law,FALSE
109,"Did Hillary Clinton Steal $200,000 in White House Furnishings?",Mixture
110,Was March 2020 the First March Since 2002 Without a US School Shooting?,Mixture
111,Man Hit by Inflatable Raft in Department Store,FALSE
112,"No, Dr. Denis Mukwege Didn't Say Coronavirus Cases Are Being Falsified",FALSE
113,Does Trump Own Stock in Moderna?,FALSE
114,Did Iranian Olympic Coverage Censor Images of Female Athletes?,FALSE
115,"Could People Be Jailed, Fined for Refusing COVID-19 Vaccine in US?",TRUE
116,Are Democratic Legislators 'Giddy' Over COVID-19 Economic Fallout?,FALSE
117,Does an Old Photo Show COVID Vax Creator as an Immigrant in Germany?,FALSE
118,Did Trump Say 'I Don't Care How Sick You Are ... Get Out and Vote'?,FALSE
119,Is This a Valid Face Mask Exemption Card?,Mixture
120,Is Ron Paul Video True in Saying 'Masks Don't Work' To Combat COVID?,FALSE
121,"Photograph Shows Alton Sterling with Children, Guns",Mixture
122,Is COVID-19 Stimulus Legislation Delayed Because of Pelosi?,Mixture
123,Is Times Square Closed to Crowds on New Year's for First Time in History?,TRUE
124,Was a Woman Sentenced to Five Years for Sending Her Son to a Better School?,Mixture
125,Hillary Clinton Calls for Americans to Respect and Empathize with ISIS?,Mixture
126,Did Florida Police 'Raid' the Home of Fired COVID-19 Scientist Rebekah Jones?,Mixture
127,Pandora Endorses Black Lives Matter?,Mixture
128,Did Trump Refer to 'China Virus' on Fox the Night Asian Women Were Killed in Atlanta?,TRUE
129,Did Boys in China Die After Wearing Face Masks During Physical Exercise?,Mixture
130,Did 4 of the 'Deadliest Days in American History' Occur in December 2020?,Mixture
131,Will Your Coronavirus Stimulus Check Count Against Your 2020 Tax Refund?,FALSE
132,Was a Rare Malabar Civet Spotted During COVID-19 Lockdown?,Mixture
133,Did Trump Admin Remove CDC as Overseer of COVID-19 Hospital Data?,TRUE
134,"Scientists Say Giant Asteroid Could Hit Earth Next Week, Causing Mass Devastation",FALSE
135,Did a Twitter User Predict Trump's COVID-19 Announcement?,TRUE
136,Did a Grandmother with AK-47 Save Cops Being Attacked by a Street Gang?,FALSE
137,Will Gargling with Salt Water or Vinegar 'Eliminate' the COVID-19 Coronavirus?,FALSE
138,Was Pfizer COVID-19 Vaccine Development Funded by Trump Administration?,FALSE
139,"Hillary Clinton Diagnosed with Vascular Dementia, Has One Year to Live?",FALSE
140,Are US Millionaires Receiving $1.7M in COVID-19 Stimulus Checks?,Mixture
141,Is Italy Calling for Bill Gates' Arrest?,Mixture
142,Did Meghan McCain Once Say She Had 'No Problem' With 'Chinese Virus' Label for COVID-19?,TRUE
143,Michelle Wants YOU to Monitor Your Own Family Members,FALSE
144,Did a European Scientific Journal Conclude 9/11 Was a Controlled Demolition?,FALSE
145,Did the Nashville Bomber Die From COVID-19?,FALSE
146,Should You Save Baby Teeth for Stem Cells?,Mixture
147,Does This Video Show a Dragon That Fell from the Sky in Tibet?,FALSE
148,Did CDC Report ‘Majority’ of People Who Contracted COVID-19 Wore Masks?,Mixture
149,Was Kissing Through Handkerchiefs Advised During 1918 Pandemic?,TRUE
