ID,Post,Label
1,Did Doctors Recommend Genital COVID-19 Vaccination Injections for Men?,FALSE
2,Is the Age of Consent Being Lowered to 4?,FALSE
3,Hawaii Official Says No Birth Certificate for President Obama?,FALSE
4,Trump Leaks Classified Info After Intelligence Briefing,FALSE
5,Did Jack Johnson Invent the Monkey Wrench?,Mixture
6,Did Russia Release 500 Lions To Enforce COVID-19 Lockdown?,FALSE
7,Did Steve Bannon Predict Obama Officials Would End Up in Jail?,FALSE
8,Imminent Changes Introduced to Texas Insurance Law in the Midst of Harvey?,Mixture
9,DId Oregon Become the First State to Legalize Molly?,FALSE
10,Pussy Quipped,FALSE
11,Will Hand Sanitizer Combust If Left in a Hot Car?,FALSE
12,Was Sharia Law Established in Texas?,FALSE
13,Does the Zello Phone App Work Without the Internet?,FALSE
14,Did President Obama Decline to Lay Wreaths on Memorial Day?,FALSE
15,Hillary Clinton Wears a Defibrillator?,FALSE
16,A Fake Tweet from Donald Trump,FALSE
17,"No, This Is Not a Phone Number for Tracking Your Coronavirus Stimulus Payments",FALSE
18,Did a Student with a Concealed Handgun Stop a Mass Stabbing at a Texas College?,Mixture
19,Congress Voted to Sell Apache Land to Foreign Corporation?,Mixture
20,Did Walmart Give 50% of Its Profits to Trump 2020 Campaign?,FALSE
21,Was 'Curb Your Enthusiasm' Filming Season 11 During COVID-19 Pandemic?,TRUE
22,Were 16 Girls Impregnated After a Teenager Ejaculated in a Pool?,FALSE
23,Did Somali Muslims Take Over a Small Tennessee Town?,FALSE
24,Dallas Shooter Not Identified as Neo-Nazi Jeffrey Harris,FALSE
25,S.C. High School Bans American Flag from Football Games,Mixture
26,Suicide Bomber Explodes After Falling Off Skateboard,FALSE
27,Does Planned Parenthood Perform Mammograms?,TRUE
28,Can Marijuana Help Heal Broken Bones?,Mixture
29,California Christians Must Register Bibles as Assault Weapons?,FALSE
30,Hillary Clinton Listed As Threat in Army Training Slide,Mixture
31,War on Christmas Stamps,FALSE
32,Donald Trump Donated $100k to Anti-Gay Hate Group Instead of Louisiana Flood Victims?,Mixture
33,"Bernie Sanders Suggests Election Is Rigged, Unendorses Hillary Clinton",Mixture
34,Did Donald Trump Meet with an Anti-Gay Hate Group Shunned by Other Candidates?,Mixture
35,Gary Johnson Said Removal of Firing Pins Makes All Guns Fully Automatic?,Mixture
36,Did Italy Confirm Almost 200 Coronavirus Deaths in 24 Hours?,TRUE
37,Did Oakland Raiders Players Punish Derek Carr for Standing During the National Anthem?,Mixture
38,Is Walmart Providing 'Free Thanksgiving Dinner for All'?,Mixture
39,Social Security Recipients Barred from Owning Guns?,Mixture
40,Did Boys in China Die After Wearing Face Masks During Physical Exercise?,Mixture
